Date,PMI
10/1/2019,48.3
9/1/2019,47.8
8/1/2019,49.1
7/1/2019,51.2
6/1/2019,51.7
5/1/2019,52.1
4/1/2019,52.8
3/1/2019,55.3
2/1/2019,54.2
1/1/2019,56.6
12/1/2018,54.3
11/1/2018,58.8
10/1/2018,57.5
9/1/2018,59.5
8/1/2018,60.8
7/1/2018,58.4
6/1/2018,60
5/1/2018,58.7
4/1/2018,57.9
3/1/2018,59.3
2/1/2018,60.7
1/1/2018,59.1
12/1/2017,59.3
11/1/2017,58.2
10/1/2017,58.5
9/1/2017,60.2
8/1/2017,59.3
7/1/2017,56.5
6/1/2017,56.7
5/1/2017,55.5
4/1/2017,55.3
3/1/2017,56.6
2/1/2017,57.6
1/1/2017,56
12/1/2016,54.5
11/1/2016,53.5
10/1/2016,52
9/1/2016,51.7
8/1/2016,49.4
7/1/2016,52.3
6/1/2016,52.8
5/1/2016,51
4/1/2016,50.7
3/1/2016,51.7
2/1/2016,49.7
1/1/2016,48.2
12/1/2015,48
11/1/2015,48.4
10/1/2015,49.4
9/1/2015,50.2
8/1/2015,51.1
7/1/2015,52.7
6/1/2015,53.5
5/1/2015,52.8
4/1/2015,51.5
3/1/2015,51.5
2/1/2015,52.9
1/1/2015,53.5
12/1/2014,55.1
11/1/2014,57.6
10/1/2014,57.9
9/1/2014,56.1
8/1/2014,58.1
7/1/2014,56.4
6/1/2014,55.7
5/1/2014,55.6
4/1/2014,55.3
3/1/2014,54.4
2/1/2014,54.3
1/1/2014,51.3
12/1/2013,56.5
11/1/2013,57
10/1/2013,56.6
9/1/2013,56
8/1/2013,56.3
7/1/2013,54.9
6/1/2013,52.5
5/1/2013,50
4/1/2013,50
3/1/2013,51.5
2/1/2013,53.1
1/1/2013,52.3
12/1/2012,50.4
11/1/2012,49.5
10/1/2012,51.2
9/1/2012,52.2
8/1/2012,51.1
7/1/2012,50.6
6/1/2012,51
5/1/2012,53.2
4/1/2012,53.7
3/1/2012,53
2/1/2012,52.4
1/1/2012,52.8
12/1/2011,53.1
11/1/2011,52.1
10/1/2011,51.8
9/1/2011,52.8
