Date,PMI
10/1/2019,48.3
9/1/2019,47.8
8/1/2019,49.1
7/1/2019,51.2
6/1/2019,51.7
5/1/2019,52.1
4/1/2019,52.8
3/1/2019,55.3
2/1/2019,54.2
1/1/2019,56.6
12/1/2018,54.3
11/1/2018,58.8
10/1/2018,57.5
9/1/2018,59.5
8/1/2018,60.8
7/1/2018,58.4
6/1/2018,60
5/1/2018,58.7
4/1/2018,57.9
3/1/2018,59.3
2/1/2018,60.7
1/1/2018,59.1
12/1/2017,59.3
11/1/2017,58.2
10/1/2017,58.5
9/1/2017,60.2
8/1/2017,59.3
7/1/2017,56.5
6/1/2017,56.7
5/1/2017,55.5
4/1/2017,55.3
3/1/2017,56.6
2/1/2017,57.6
1/1/2017,56
12/1/2016,54.5
11/1/2016,53.5
10/1/2016,52
9/1/2016,51.7
8/1/2016,49.4
7/1/2016,52.3
6/1/2016,52.8
5/1/2016,51
4/1/2016,50.7
3/1/2016,51.7
2/1/2016,49.7
1/1/2016,48.2
12/1/2015,48
11/1/2015,48.4
10/1/2015,49.4
9/1/2015,50.2
8/1/2015,51.1
7/1/2015,52.7
6/1/2015,53.5
5/1/2015,52.8
4/1/2015,51.5
3/1/2015,51.5
2/1/2015,52.9
1/1/2015,53.5
12/1/2014,55.1
11/1/2014,57.6
10/1/2014,57.9
9/1/2014,56.1
8/1/2014,58.1
7/1/2014,56.4
6/1/2014,55.7
5/1/2014,55.6
4/1/2014,55.3
3/1/2014,54.4
2/1/2014,54.3
1/1/2014,51.3
12/1/2013,56.5
11/1/2013,57
10/1/2013,56.6
9/1/2013,56
8/1/2013,56.3
7/1/2013,54.9
6/1/2013,52.5
5/1/2013,50
4/1/2013,50
3/1/2013,51.5
2/1/2013,53.1
1/1/2013,52.3
12/1/2012,50.4
11/1/2012,49.5
10/1/2012,51.2
9/1/2012,52.2
8/1/2012,51.1
7/1/2012,50.6
6/1/2012,51
5/1/2012,53.2
4/1/2012,53.7
3/1/2012,53
2/1/2012,52.4
1/1/2012,52.8
12/1/2011,53.1
11/1/2011,52.1
10/1/2011,51.8
9/1/2011,52.8
8/1/2011,53
7/1/2011,52.9
6/1/2011,56.6
5/1/2011,53.7
4/1/2011,58.9
3/1/2011,59.1
2/1/2011,59.3
1/1/2011,59
12/1/2010,57.5
11/1/2010,57.6
10/1/2010,57.7
9/1/2010,56.3
8/1/2010,58
7/1/2010,56.4
6/1/2010,56.4
5/1/2010,58.3
4/1/2010,58.1
3/1/2010,58.8
2/1/2010,55.8
1/1/2010,57.2
12/1/2009,55.3
11/1/2009,54.4
10/1/2009,56
9/1/2009,54.4
8/1/2009,53.5
7/1/2009,49.9
6/1/2009,45.8
5/1/2009,41.7
4/1/2009,39.5
3/1/2009,36
2/1/2009,35.5
1/1/2009,34.9
12/1/2008,33.1
11/1/2008,36.5
10/1/2008,38.9
9/1/2008,44.8
8/1/2008,49.2
7/1/2008,50
6/1/2008,49.8
5/1/2008,48.8
4/1/2008,48.8
3/1/2008,48.3
2/1/2008,47.6
1/1/2008,50.3
12/1/2007,49
11/1/2007,50.5
10/1/2007,51.1
9/1/2007,51
8/1/2007,50.9
7/1/2007,52.4
6/1/2007,52.6
5/1/2007,52.5
4/1/2007,52.6
3/1/2007,50.7
2/1/2007,51.9
1/1/2007,49.5
12/1/2006,51.4
11/1/2006,50.3
10/1/2006,51.4
9/1/2006,52.2
8/1/2006,53.7
7/1/2006,53
6/1/2006,52
5/1/2006,53.7
4/1/2006,55.2
3/1/2006,54.3
2/1/2006,55.8
1/1/2006,55
12/1/2005,55.1
11/1/2005,56.7
10/1/2005,57.2
9/1/2005,56.8
8/1/2005,52.4
7/1/2005,52.8
6/1/2005,52.4
5/1/2005,50.8
4/1/2005,52.2
3/1/2005,55.2
2/1/2005,55.5
1/1/2005,56.8
12/1/2004,57.2
11/1/2004,56.2
10/1/2004,56.3
9/1/2004,57.4
8/1/2004,58.5
7/1/2004,59.9
6/1/2004,60.5
5/1/2004,61.4
4/1/2004,60.6
3/1/2004,60.6
2/1/2004,59.9
1/1/2004,60.8
12/1/2003,60.1
11/1/2003,58.4
10/1/2003,55.2
9/1/2003,52.4
8/1/2003,53.2
7/1/2003,51
6/1/2003,49
5/1/2003,49
4/1/2003,46.1
3/1/2003,46.3
2/1/2003,48.8
1/1/2003,51.3
12/1/2002,51.6
11/1/2002,48.5
10/1/2002,49
9/1/2002,50.5
8/1/2002,50.3
7/1/2002,50.2
6/1/2002,53.6
5/1/2002,53.1
4/1/2002,52.4
3/1/2002,52.4
2/1/2002,50.7
1/1/2002,47.5
12/1/2001,45.3
11/1/2001,44.1
10/1/2001,40.8
9/1/2001,46.2
8/1/2001,46.3
7/1/2001,43.5
6/1/2001,43.2
5/1/2001,41.3
